Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Product Category,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Variant Image,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,product.metafields.custom.color,product.metafields.custom.size,product.metafields.custom.dress_occasion,product.metafields.custom.dress_style,product.metafields.custom.skirt_length_type,product.metafields.custom.sleeve_length_type
f570,MILANO FORMALS F570,"<p>Elevate your elegance with this breathtaking pastel blue gown that exudes timeless sophistication. Crafted from a luxurious, lightweight fabric, it cascades effortlessly to a floor-length hemline, creating a graceful silhouette. The cowl neckline adds a touch of modern refinement, perfectly complementing the delicate spaghetti straps. This dress is perfect for formal occasions, weddings, or glamorous evening galas, ensuring all eyes are on you. Its minimalist design allows you to accessorize boldly or keep it chic and understated. Glide into any event with poise and confidence, making every moment unforgettable.</p>",Nova Vogue, Dress,,TRUE,Apparel & Accessories > Clothing > Dresses,Color,APPLE-RED,Size,34,F570_APPLE-RED_34,,shopify,19,deny,manual,99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F570_Skyblue_1.png?v=1727408511,1,Nova Vogue CODE: F570_APPLE-RED_34,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F570_Skyblue_1.png?v=1727408511,MILANO FORMALS F570,,Apparel & Accessories > Clothing > Dresses,Female,Adult,Women Dresses,,new,FALSE,MILANO FORMALS,,,,APPLE-RED 34,APPLE-RED,34,,,,
f570,MILANO FORMALS F570,"<p>Elevate your elegance with this breathtaking pastel blue gown that exudes timeless sophistication. Crafted from a luxurious, lightweight fabric, it cascades effortlessly to a floor-length hemline, creating a graceful silhouette. The cowl neckline adds a touch of modern refinement, perfectly complementing the delicate spaghetti straps. This dress is perfect for formal occasions, weddings, or glamorous evening galas, ensuring all eyes are on you. Its minimalist design allows you to accessorize boldly or keep it chic and understated. Glide into any event with poise and confidence, making every moment unforgettable.</p>",Nova Vogue, Dress,,TRUE,Apparel & Accessories > Clothing > Dresses,Color,BANANA,Size,12,F570_BANANA_12,,shopify,1,deny,manual,99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F570_Skyblue_1.png?v=1727408511,1,Nova Vogue CODE: F570_BANANA_12,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F570_Skyblue_1.png?v=1727408511,MILANO FORMALS F570,,Apparel & Accessories > Clothing > Dresses,Female,Adult,Women Dresses,,new,FALSE,MILANO FORMALS,,,,BANANA 12,BANANA,12,,,,
f570,MILANO FORMALS F570,"<p>Elevate your elegance with this breathtaking pastel blue gown that exudes timeless sophistication. Crafted from a luxurious, lightweight fabric, it cascades effortlessly to a floor-length hemline, creating a graceful silhouette. The cowl neckline adds a touch of modern refinement, perfectly complementing the delicate spaghetti straps. This dress is perfect for formal occasions, weddings, or glamorous evening galas, ensuring all eyes are on you. Its minimalist design allows you to accessorize boldly or keep it chic and understated. Glide into any event with poise and confidence, making every moment unforgettable.</p>",Nova Vogue, Dress,,TRUE,Apparel & Accessories > Clothing > Dresses,Color,BANANA-YELLOW,Size,22,F570_BANANA-YELLOW_22,,shopify,6,deny,manual,99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F570_Skyblue_1.png?v=1727408511,1,Nova Vogue CODE: F570_BANANA-YELLOW_22,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F570_Skyblue_1.png?v=1727408511,MILANO FORMALS F570,,Apparel & Accessories > Clothing > Dresses,Female,Adult,Women Dresses,,new,FALSE,MILANO FORMALS,,,,BANANA-YELLOW 22,BANANA-YELLOW,22,,,,
f570,MILANO FORMALS F570,"<p>Elevate your elegance with this breathtaking pastel blue gown that exudes timeless sophistication. Crafted from a luxurious, lightweight fabric, it cascades effortlessly to a floor-length hemline, creating a graceful silhouette. The cowl neckline adds a touch of modern refinement, perfectly complementing the delicate spaghetti straps. This dress is perfect for formal occasions, weddings, or glamorous evening galas, ensuring all eyes are on you. Its minimalist design allows you to accessorize boldly or keep it chic and understated. Glide into any event with poise and confidence, making every moment unforgettable.</p>",Nova Vogue, Dress,,TRUE,Apparel & Accessories > Clothing > Dresses,Color,BLACK,Size,2,F570_BLACK_2,,shopify,1,deny,manual,99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F570_Skyblue_1.png?v=1727408511,1,Nova Vogue CODE: F570_BLACK_2,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F570_Skyblue_1.png?v=1727408511,MILANO FORMALS F570,,Apparel & Accessories > Clothing > Dresses,Female,Adult,Women Dresses,,new,FALSE,MILANO FORMALS,,,,BLACK 2,BLACK,2,,,,
f570,MILANO FORMALS F570,"<p>Elevate your elegance with this breathtaking pastel blue gown that exudes timeless sophistication. Crafted from a luxurious, lightweight fabric, it cascades effortlessly to a floor-length hemline, creating a graceful silhouette. The cowl neckline adds a touch of modern refinement, perfectly complementing the delicate spaghetti straps. This dress is perfect for formal occasions, weddings, or glamorous evening galas, ensuring all eyes are on you. Its minimalist design allows you to accessorize boldly or keep it chic and understated. Glide into any event with poise and confidence, making every moment unforgettable.</p>",Nova Vogue, Dress,,TRUE,Apparel & Accessories > Clothing > Dresses,Color,BURGUNDY,Size,30,F570_BURGUNDY_30,,shopify,5,deny,manual,99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F570_Skyblue_1.png?v=1727408511,1,Nova Vogue CODE: F570_BURGUNDY_30,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F570_Skyblue_1.png?v=1727408511,MILANO FORMALS F570,,Apparel & Accessories > Clothing > Dresses,Female,Adult,Women Dresses,,new,FALSE,MILANO FORMALS,,,,BURGUNDY 30,BURGUNDY,30,,,,
f570,MILANO FORMALS F570,"<p>Elevate your elegance with this breathtaking pastel blue gown that exudes timeless sophistication. Crafted from a luxurious, lightweight fabric, it cascades effortlessly to a floor-length hemline, creating a graceful silhouette. The cowl neckline adds a touch of modern refinement, perfectly complementing the delicate spaghetti straps. This dress is perfect for formal occasions, weddings, or glamorous evening galas, ensuring all eyes are on you. Its minimalist design allows you to accessorize boldly or keep it chic and understated. Glide into any event with poise and confidence, making every moment unforgettable.</p>",Nova Vogue, Dress,,TRUE,Apparel & Accessories > Clothing > Dresses,Color,CHAMPAGNE,Size,14,F570_CHAMPAGNE_14,,shopify,1,deny,manual,99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F570_Skyblue_1.png?v=1727408511,1,Nova Vogue CODE: F570_CHAMPAGNE_14,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F570_Skyblue_1.png?v=1727408511,MILANO FORMALS F570,,Apparel & Accessories > Clothing > Dresses,Female,Adult,Women Dresses,,new,FALSE,MILANO FORMALS,,,,CHAMPAGNE 14,CHAMPAGNE,14,,,,
f570,MILANO FORMALS F570,"<p>Elevate your elegance with this breathtaking pastel blue gown that exudes timeless sophistication. Crafted from a luxurious, lightweight fabric, it cascades effortlessly to a floor-length hemline, creating a graceful silhouette. The cowl neckline adds a touch of modern refinement, perfectly complementing the delicate spaghetti straps. This dress is perfect for formal occasions, weddings, or glamorous evening galas, ensuring all eyes are on you. Its minimalist design allows you to accessorize boldly or keep it chic and understated. Glide into any event with poise and confidence, making every moment unforgettable.</p>",Nova Vogue, Dress,,TRUE,Apparel & Accessories > Clothing > Dresses,Color,CORAL,Size,14,F570_CORAL_14,,shopify,1,deny,manual,99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F570_Skyblue_1.png?v=1727408511,1,Nova Vogue CODE: F570_CORAL_14,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F570_Skyblue_1.png?v=1727408511,MILANO FORMALS F570,,Apparel & Accessories > Clothing > Dresses,Female,Adult,Women Dresses,,new,FALSE,MILANO FORMALS,,,,CORAL 14,CORAL,14,,,,
f570,MILANO FORMALS F570,"<p>Elevate your elegance with this breathtaking pastel blue gown that exudes timeless sophistication. Crafted from a luxurious, lightweight fabric, it cascades effortlessly to a floor-length hemline, creating a graceful silhouette. The cowl neckline adds a touch of modern refinement, perfectly complementing the delicate spaghetti straps. This dress is perfect for formal occasions, weddings, or glamorous evening galas, ensuring all eyes are on you. Its minimalist design allows you to accessorize boldly or keep it chic and understated. Glide into any event with poise and confidence, making every moment unforgettable.</p>",Nova Vogue, Dress,,TRUE,Apparel & Accessories > Clothing > Dresses,Color,DARK-GREEN,Size,12,F570_DARK-GREEN_12,,shopify,1,deny,manual,99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F570_Skyblue_1.png?v=1727408511,1,Nova Vogue CODE: F570_DARK-GREEN_12,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F570_Skyblue_1.png?v=1727408511,MILANO FORMALS F570,,Apparel & Accessories > Clothing > Dresses,Female,Adult,Women Dresses,,new,FALSE,MILANO FORMALS,,,,DARK-GREEN 12,DARK-GREEN,12,,,,
f570,MILANO FORMALS F570,"<p>Elevate your elegance with this breathtaking pastel blue gown that exudes timeless sophistication. Crafted from a luxurious, lightweight fabric, it cascades effortlessly to a floor-length hemline, creating a graceful silhouette. The cowl neckline adds a touch of modern refinement, perfectly complementing the delicate spaghetti straps. This dress is perfect for formal occasions, weddings, or glamorous evening galas, ensuring all eyes are on you. Its minimalist design allows you to accessorize boldly or keep it chic and understated. Glide into any event with poise and confidence, making every moment unforgettable.</p>",Nova Vogue, Dress,,TRUE,Apparel & Accessories > Clothing > Dresses,Color,FUCHSIA,Size,8,F570_FUCHSIA_8,,shopify,6,deny,manual,99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F570_Skyblue_1.png?v=1727408511,1,Nova Vogue CODE: F570_FUCHSIA_8,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F570_Skyblue_1.png?v=1727408511,MILANO FORMALS F570,,Apparel & Accessories > Clothing > Dresses,Female,Adult,Women Dresses,,new,FALSE,MILANO FORMALS,,,,FUCHSIA 8,FUCHSIA,8,,,,
f570,MILANO FORMALS F570,"<p>Elevate your elegance with this breathtaking pastel blue gown that exudes timeless sophistication. Crafted from a luxurious, lightweight fabric, it cascades effortlessly to a floor-length hemline, creating a graceful silhouette. The cowl neckline adds a touch of modern refinement, perfectly complementing the delicate spaghetti straps. This dress is perfect for formal occasions, weddings, or glamorous evening galas, ensuring all eyes are on you. Its minimalist design allows you to accessorize boldly or keep it chic and understated. Glide into any event with poise and confidence, making every moment unforgettable.</p>",Nova Vogue, Dress,,TRUE,Apparel & Accessories > Clothing > Dresses,Color,GREEN,Size,14,F570_GREEN_14,,shopify,1,deny,manual,99,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F570_Skyblue_1.png?v=1727408511,1,Nova Vogue CODE: F570_GREEN_14,https://cdn.shopify.com/s/files/1/0649/4820/7797/files/F570_Skyblue_1.png?v=1727408511,MILANO FORMALS F570,,Apparel & Accessories > Clothing > Dresses,Female,Adult,Women Dresses,,new,FALSE,MILANO FORMALS,,,,GREEN 14,GREEN,14,,,,
